id,invs_yr,invs_dsrt,invs_area_nm,dnf_src_nm,qtmt_nm,iem_nm,iem_cnt,meter_per_iem_cnt,adm_zn_nm,qtmt_cd,iem_cd,invs_ymd,cst_nm,str_la,str_lo,end_la,end_lo
14,2022.0,4차,고흥신흥,국내기인,플라스틱류,그물,0,0,전남,PL,PL_2_26,2.0220731E7,남해안,34.584309,127.145063,34.586191,127.145855
15,2022.0,4차,고흥신흥,국내기인,플라스틱류,낚싯줄,0,0,전남,PL,PL_2_27,2.0220731E7,남해안,34.584309,127.145063,34.586191,127.145855
16,2022.0,4차,고흥신흥,외국기인,플라스틱류,그물,0,0,전남,PL,PL_2_49,2.0220731E7,남해안,34.584309,127.145063,34.586191,127.145855
345,2022.0,5차,고흥신흥,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,전남,PL,PL_2_11,2.022093E7,남해안,34.584309,127.145063,34.586191,127.145855
346,2022.0,5차,고흥신흥,국내기인,플라스틱류,비닐봉지,0,0,전남,PL,PL_2_31,2.022093E7,남해안,34.584309,127.145063,34.586191,127.145855
347,2022.0,5차,고흥신흥,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",0,0,전남,PL,PL_2_32,2.022093E7,남해안,34.584309,127.145063,34.586191,127.145855
348,2022.0,5차,고흥신흥,국내기인,플라스틱류,필름형 풍선,0,0,전남,PL,PL_2_33,2.022093E7,남해안,34.584309,127.145063,34.586191,127.145855
349,2022.0,5차,고흥신흥,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",9,0.45,전남,PL,PL_2_25,2.022093E7,남해안,34.584309,127.145063,34.586191,127.145855
350,2022.0,5차,고흥신흥,국내기인,플라스틱류,그물,0,0,전남,PL,PL_2_26,2.022093E7,남해안,34.584309,127.145063,34.586191,127.145855
351,2022.0,5차,고흥신흥,국내기인,플라스틱류,낚싯줄,0,0,전남,PL,PL_2_27,2.022093E7,남해안,34.584309,127.145063,34.586191,127.145855
352,2022.0,5차,고흥신흥,외국기인,플라스틱류,그물,0,0,전남,PL,PL_2_49,2.022093E7,남해안,34.584309,127.145063,34.586191,127.145855
